tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
215,1742830307.056647,582,6,len4,600,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,429,0.004454135894775391,5474,1.0
2888,1742830307.065003,1576,6,len4,"605,606",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,434,0.0002288818359375,5474,0.0
2890,1742830307.0736449,183,6,len4,611,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,438,7.414817810058594e-05,5474,0.0
2892,1742830307.07754,332,6,len4,615,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,442,0.00022292137145996094,5474,0.0
2893,1742830307.080846,170,6,len4,617,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,444,8.702278137207031e-05,5474,0.0
229,1742830307.105424,151,6,len4,630,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,457,0.0070648193359375,5474,1.0
2901,1742830307.110574,716,6,len4,633,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,460,0.0001239776611328125,5474,0.0
233,1742830307.127258,512,6,len4,638,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,465,0.004992961883544922,5474,1.0
2912,1742830307.167325,307,6,len4,655,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,482,0.0001819133758544922,5474,0.0
245,1742830307.188128,151,6,len4,664,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,489,0.0002739429473876953,5474,1.0
2916,1742830307.1881971,183,6,len4,665,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,490,6.890296936035156e-05,5474,0.0
2917,1742830307.195959,183,6,len4,667,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,492,7.82012939453125e-05,5474,0.0
2924,1742830307.251513,183,6,len4,681,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,506,8.296966552734375e-05,5474,0.0
2936,1742830307.364083,193,6,len4,706,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,530,0.00017309188842773438,5474,0.0
2942,1742830307.4269538,183,6,len4,721,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,542,9.107589721679688e-05,5474,0.0
273,1742830307.457084,151,6,len4,725,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,545,0.015254974365234375,5474,1.0
2946,1742830307.488256,183,6,len4,731,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,550,7.700920104980469e-05,5474,0.0
2950,1742830307.544635,1826,6,len4,"739,740",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,558,0.00027513504028320307,5474,0.0
280,1742830307.544989,1115,6,len4,742,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,559,0.0003540515899658203,5474,1.0
282,1742830307.557118,151,6,len4,785,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,569,0.007223844528198242,5474,1.0
2960,1742830307.566861,183,6,len4,788,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,572,7.581710815429688e-05,5474,0.0
2975,1742830307.642194,370,6,len4,827,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,602,0.00026106834411621094,5474,0.0
2976,1742830307.647827,7028,6,len4,"829,830,831,832,833",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,604,0.00037598609924316406,5474,0.0
301,1742830307.660146,2183,6,len4,"837,838",10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,607,0.005368947982788086,5474,1.0
302,1742830307.664324,170,6,len4,847,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,609,0.00380706787109375,5474,1.0
306,1742830307.6897619,170,6,len4,859,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,617,0.007806062698364258,5474,1.0
2991,1742830307.784277,299,6,len4,886,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,634,0.0002160072326660156,5474,0.0
318,1742830308.1058302,164,6,len4,897,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,641,0.10328006744384766,5474,1.0
2998,1742830308.325548,844,6,len4,906,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,648,0.0002160072326660156,5474,0.0
3000,1742830308.333622,335,6,len4,916,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,651,7.867813110351562e-06,5474,0.0
3005,1742830308.3607311,315,6,len4,935,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,660,1.9073486328125e-06,5474,0.0
327,1742830308.367592,610,6,len4,937,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,661,0.006861209869384766,5474,1.0
329,1742830308.377177,651,6,len4,943,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,665,0.005202054977416992,5474,1.0
3009,1742830308.382359,615,6,len4,949,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,668,0.0001850128173828125,5474,0.0
332,1742830308.39355,1498,6,len4,"956,957",10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,671,0.009881973266601562,5474,1.0
3012,1742830308.401927,4329,6,len4,"961,962,963",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,674,0.00016999244689941406,5474,0.0
3015,1742830308.4289849,2241,6,len4,"975,976",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,680,0.00032019615173339844,5474,0.0
337,1742830308.430754,170,6,len4,978,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,681,0.0017688274383544922,5474,1.0
339,1742830308.4511561,151,6,len4,983,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,685,0.013283014297485352,5474,1.0
3022,1742830308.478942,2016,6,len4,"992,993",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,694,8.20159912109375e-05,5474,0.0
3032,1742830308.592374,622,6,len4,1028,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,714,0.00019407272338867188,5474,0.0
3033,1742830308.6021519,684,6,len4,1030,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,716,0.0002110004425048828,5474,0.0
3036,1742830308.627373,214,6,len4,1038,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,722,0.00010204315185546876,5474,0.0
3038,1742830308.653639,1108,6,len4,1047,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,726,0.0004911422729492189,5474,0.0
362,1742830308.68066,536,6,len4,1061,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,731,0.00605010986328125,5474,1.0
3044,1742830308.707244,4201,6,len4,"1077,1078,1079",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,738,0.0001888275146484375,5474,0.0
3046,1742830308.7237391,354,6,len4,1084,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,742,0.00016689300537109375,5474,0.0
368,1742830308.727262,1298,6,len4,1085,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,743,0.003523111343383789,5474,1.0
3051,1742830308.7370439,274,6,len4,1103,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,752,0.00012516975402832029,5474,0.0
